index,loss,correct,predicted,total_logprob
0,0.0005800233921036124,1, yes,-0.0017050431342795491
1,8.642300235806033e-05,1, yes,-0.0012754088966175914
2,2.0503786799963564e-05,1, yes,-0.0025784343015402555
3,-0.0,1, yes,-0.0018177004531025887
4,-0.0,1, yes,-0.0019415554124861956
5,5.006777428206988e-06,1, yes,-0.0013952655717730522
6,-0.0,1, yes,-0.00379982334561646
7,-0.0,1, yes,-0.001483240514062345
8,19.877641677856445,0, no,-0.006932372692972422
9,-0.0,1, yes,-0.0013437459710985422
10,-0.0,1, yes,-0.004518305417150259
11,2.3841855067985307e-07,1, yes,-0.011634442955255508
12,4.0411134250462055e-05,1, yes,-0.0015653290320187807
13,-0.0,1, yes,-0.0017003720859065652
14,2.3841855067985307e-07,1, yes,-0.004049414768815041
15,4.529942543740617e-06,1, yes,-0.0019852174445986748
16,1.1920928244535389e-07,1, yes,-0.002728984924033284
17,-0.0,1, yes,-0.0023389554116874933
18,-0.0,1, yes,-0.0023955954238772392
19,-0.0,1, yes,-0.00358708412386477
20,-0.0,1, yes,-0.0018468409543856978
21,6.663577369181439e-05,1, yes,-0.0032777904998511076
22,14.744219779968262,0, no,-0.006367750931531191
23,2.3841855067985307e-07,1, yes,-0.004388087894767523
24,-0.0,1, yes,-0.0020227767527103424
25,-0.0,1, yes,-0.002109263092279434
26,-0.0,1, yes,-0.001863144221715629
27,-0.0,1, yes,-0.0032144186552613974
28,-0.0,1, yes,-0.00234672287479043
29,0.0021261009387671947,1, yes,-0.003909446764737368
30,1.1920928244535389e-07,1, yes,-0.002832449274137616
31,14.687735557556152,0, no,-0.004770534113049507
32,-0.0,1, yes,-0.0017489123856648803
33,4.6491513785440475e-06,1, yes,-0.004022682085633278
34,-0.0,1, yes,-0.00173559773247689
35,3.3378546504536644e-06,1, yes,-0.0016678373795002699
36,2.3841855067985307e-07,1, yes,-0.0011264587519690394
37,0.09500367939472198,1, yes,0.00010333210229873657
38,2.7418097943154862e-06,1, yes,-0.0015428824117407203
39,-0.0,1, yes,-0.0018931227969005704
40,-0.0,1, yes,-0.006147267762571573
41,0.03971664607524872,1, yes,-0.016546111553907394
42,0.0028981848154217005,1, yes,-0.0018301231320947409
43,1.1920928244535389e-07,1, yes,-0.0012961208121851087
44,-0.0,1, yes,-0.003905374323949218
45,-0.0,1, yes,-0.004220233764499426
46,5.960462772236497e-07,1, yes,-0.0012410960625857115
47,-0.0,1, yes,-0.0020888333674520254
