index,loss,correct,predicted,total_logprob,ground_truth
0,0.6786708831787109,1, yes,-16.731863021850586, yes
1,2.657156229019165,0, no,-19.243886947631836, yes
2,2.702256679534912,0, no,-17.596967697143555, yes
3,1.0288244485855103,0, no,-18.128557205200195, yes
4,2.5977983474731445,0, no,-19.552486419677734, yes
5,3.6944339275360107,0, no,-17.69188117980957, yes
6,2.4135220050811768,0, no,-18.61243438720703, yes
7,2.9753222465515137,0, no,-17.438886642456055, yes
8,1.0943934917449951,0, no,-15.424612998962402, yes
9,3.1307613849639893,0, no,-18.253068923950195, yes
10,2.2396814823150635,0, no,-17.30599594116211, yes
11,2.4435577392578125,0, no,-18.35894012451172, yes
12,2.736788272857666,0, no,-17.703493118286133, yes
13,2.4530577659606934,0, no,-17.93345069885254, yes
14,2.748044967651367,0, no,-16.982362747192383, yes
15,2.5312042236328125,0, no,-17.170257568359375, yes
16,2.4822585582733154,0, no,-18.38889503479004, yes
17,1.8220129013061523,0, no,-18.965242385864258, yes
18,1.9067915678024292,0, no,-17.80562400817871, yes
19,2.604943037033081,0, no,-18.408126831054688, yes
20,0.927416980266571,0, no,-16.37909698486328, yes
21,1.379219889640808,0, no,-15.258172035217285, yes
22,1.708970308303833,0, no,-17.07931137084961, yes
23,0.7318869829177856,0, no,-16.207670211791992, yes
24,0.2426004409790039,1, yes,-14.87154769897461, yes
25,0.26918208599090576,1, yes,-15.98031997680664, yes
26,0.2121938169002533,1, yes,-15.671236038208008, yes
27,1.8217219114303589,0, no,-18.3341121673584, yes
28,3.1573643684387207,0, no,-18.156892776489258, yes
29,2.629225730895996,0, no,-18.134761810302734, yes
30,2.6123340129852295,0, no,-18.28023910522461, yes
31,0.5860748291015625,1, yes,-16.46756935119629, yes
32,0.9173731803894043,0, no,-16.628559112548828, yes
33,1.788756251335144,0, no,-18.235387802124023, yes
34,0.9273005723953247,0, no,-17.241230010986328, yes
35,1.4504203796386719,0, no,-17.90559959411621, yes
36,2.169283866882324,0, no,-17.396371841430664, yes
37,2.085829257965088,0, no,-17.074718475341797, yes
38,1.2094316482543945,0, no,-17.823448181152344, yes
39,2.6919219493865967,0, no,-17.86532974243164, yes
40,2.781311511993408,0, no,-17.11773681640625, yes
41,1.2548465728759766,0, no,-17.057058334350586, yes
42,2.1897051334381104,0, no,-17.955324172973633, yes
43,2.310467004776001,0, no,-17.109275817871094, yes
44,1.978787899017334,0, no,-17.18484115600586, yes
45,1.7969279289245605,0, no,-16.981842041015625, yes
46,0.32937705516815186,1, yes,-16.100547790527344, yes
47,1.0254817008972168,0, no,-17.005962371826172, yes
48,2.329869508743286,0, no,-19.312419891357422, yes
49,0.8105080127716064,0, no,-16.239704132080078, yes
50,1.9350661039352417,0, no,-17.394775390625, yes
51,0.6008519530296326,1, yes,-16.276752471923828, yes
52,0.880511999130249,0, no,-15.704669952392578, yes
53,1.035060167312622,0, no,-15.95507526397705, yes
54,1.6475579738616943,0, no,-17.079404830932617, yes
55,3.3938052654266357,0, no,-18.24736976623535, yes
56,1.7809343338012695,0, no,-17.06906509399414, yes
57,3.70163631439209,0, no,-18.49141502380371, yes
58,2.6378350257873535,0, no,-18.857379913330078, yes
59,0.6558533310890198,1, yes,-16.25364112854004, yes
60,0.9880848526954651,0, no,-17.917512893676758, yes
61,0.720874547958374,0, no,-15.84243392944336, yes
62,2.2232041358947754,0, no,-17.630205154418945, yes
63,0.7730262279510498,0, no,-16.08572769165039, yes
64,1.9124995470046997,0, no,-17.20712661743164, yes
65,2.0810065269470215,0, no,-17.984439849853516, yes
66,1.588702917098999,0, no,-16.99738883972168, yes
67,1.6786669492721558,0, no,-16.951255798339844, yes
68,2.382624387741089,0, no,-18.623830795288086, yes
69,1.6188215017318726,0, no,-17.05119514465332, yes
70,1.0465312004089355,0, no,-16.283702850341797, yes
71,1.2345153093338013,0, no,-16.626239776611328, yes
72,2.232085704803467,0, no,-18.158735275268555, yes
73,2.025493621826172,0, no,-17.620811462402344, yes
74,2.0817677974700928,0, no,-18.634201049804688, yes
75,2.8826801776885986,0, no,-18.757722854614258, yes
76,3.27789306640625,0, no,-18.711101531982422, yes
77,1.7494369745254517,0, no,-17.35869598388672, yes
78,2.636230707168579,0, no,-17.65016746520996, yes
79,1.9788569211959839,0, no,-16.93817138671875, yes
80,1.902238130569458,0, no,-16.510374069213867, yes
81,3.245802640914917,0, no,-18.567588806152344, yes
82,2.8535726070404053,0, no,-18.154449462890625, yes
83,3.160151243209839,0, no,-17.373497009277344, yes
84,1.3741908073425293,0, no,-17.12226676940918, yes
85,2.493164539337158,0, no,-17.856700897216797, yes
86,1.9429583549499512,0, no,-18.37733268737793, yes
87,2.1255621910095215,0, no,-18.925670623779297, yes
88,2.473609447479248,0, no,-18.439289093017578, yes
89,0.9326239824295044,0, no,-16.08837127685547, yes
90,2.2923624515533447,0, no,-17.861448287963867, yes
91,2.4720568656921387,0, no,-16.99587059020996, yes
92,2.7921793460845947,0, no,-18.36266326904297, yes
93,1.801779866218567,0, no,-18.51085090637207, yes
94,0.9969534277915955,0, no,-16.631851196289062, yes
95,0.8409401178359985,0, no,-16.425521850585938, yes
96,3.207472085952759,0, no,-18.06853675842285, yes
97,0.36839136481285095,1, yes,-15.970880508422852, yes
98,3.612344980239868,0, no,-18.044036865234375, yes
99,2.5713179111480713,0, no,-18.507177352905273, yes
100,2.266801595687866,0, no,-17.849061965942383, yes
101,1.4737979173660278,0, no,-16.796030044555664, yes
102,2.0491113662719727,0, no,-16.91400146484375, yes
103,2.5516204833984375,0, no,-18.7807674407959, yes
104,1.9442362785339355,0, no,-17.566692352294922, yes
105,1.692521095275879,0, no,-18.119985580444336, yes
106,1.059046745300293,0, no,-16.598997116088867, yes
107,0.9101094603538513,0, no,-17.138240814208984, yes
108,2.678027629852295,0, no,-17.91725730895996, yes
109,1.7922824621200562,0, no,-17.233901977539062, yes
110,0.41503003239631653,1, yes,-15.65982723236084, yes
111,2.2228622436523438,0, no,-18.33582878112793, yes
112,1.1714541912078857,0, no,-16.42669105529785, yes
113,1.5107823610305786,0, no,-19.003494262695312, yes
114,2.2835912704467773,0, no,-18.332584381103516, yes
115,1.5413585901260376,0, no,-17.098766326904297, yes
116,3.0282976627349854,0, no,-18.36029815673828, yes
117,3.2335333824157715,0, no,-17.869579315185547, yes
118,1.6638857126235962,0, no,-17.26351547241211, yes
119,2.746914863586426,0, no,-17.67734146118164, yes
120,0.16637516021728516,1, yes,-16.068191528320312, yes
121,3.103665828704834,0, no,-18.055057525634766, yes
122,3.0940656661987305,0, no,-18.359024047851562, yes
123,1.672154426574707,0, no,-15.956130027770996, yes
124,0.7169491052627563,0, no,-16.846267700195312, yes
125,1.3257783651351929,0, no,-17.23514747619629, yes
126,1.4732084274291992,0, no,-17.081424713134766, yes
127,0.20950652658939362,1, yes,-15.498001098632812, yes
128,2.406123161315918,0, no,-17.336132049560547, yes
129,1.1166372299194336,0, no,-16.917240142822266, yes
130,0.8386144042015076,0, no,-17.07961654663086, yes
131,2.719613552093506,0, no,-17.805713653564453, yes
132,0.0635274276137352,1, yes,-15.359872817993164, yes
133,0.30492720007896423,1, yes,-16.07501792907715, yes
134,3.144425630569458,0, no,-18.028213500976562, yes
135,2.450824737548828,0, no,-16.750988006591797, yes
136,0.6903434991836548,1, yes,-16.784700393676758, yes
137,1.9740641117095947,0, no,-18.66747283935547, yes
138,1.032707691192627,0, no,-17.015987396240234, yes
139,3.7387807369232178,0, no,-18.285600662231445, yes
140,2.12266206741333,0, no,-17.35445785522461, yes
141,1.9739819765090942,0, no,-17.46341323852539, yes
142,2.092524290084839,0, no,-17.741819381713867, yes
143,3.037656307220459,0, no,-17.740711212158203, yes
144,1.560072898864746,0, no,-17.78644561767578, yes
145,2.1414706707000732,0, no,-18.558666229248047, yes
146,3.236835241317749,0, no,-19.228797912597656, yes
147,1.4175996780395508,0, no,-16.926958084106445, yes
148,2.6849944591522217,0, no,-18.071508407592773, yes
149,2.390238046646118,0, no,-17.795425415039062, yes
150,3.239516019821167,0, no,-18.066991806030273, yes
151,0.3011922538280487,1, yes,-16.237577438354492, yes
152,1.0873833894729614,0, no,-16.352540969848633, yes
153,3.4434874057769775,0, no,-18.06964683532715, yes
154,2.1358962059020996,0, no,-17.219411849975586, yes
155,2.1876542568206787,0, no,-18.734827041625977, yes
156,0.9214270114898682,0, no,-16.945796966552734, yes
157,2.8344717025756836,0, no,-18.33404541015625, yes
158,2.3463354110717773,0, no,-17.360584259033203, yes
159,2.4618263244628906,0, no,-17.102161407470703, yes
160,2.6407644748687744,0, no,-16.300474166870117, yes
161,3.1402556896209717,0, no,-18.190956115722656, yes
162,3.9417529106140137,0, no,-19.248306274414062, yes
163,2.9804017543792725,0, no,-18.117870330810547, yes
164,2.2843997478485107,0, no,-17.99407196044922, yes
165,2.7035841941833496,0, no,-18.15582847595215, yes
166,2.9404547214508057,0, no,-17.690967559814453, yes
167,2.4796247482299805,0, no,-17.04168128967285, yes
168,2.9300663471221924,0, no,-18.220706939697266, yes
169,2.2638957500457764,0, no,-18.32378578186035, yes
170,0.9080685377120972,0, no,-16.388242721557617, yes
171,0.2227199375629425,1, yes,-15.500975608825684, yes
172,1.5437127351760864,0, no,-18.475967407226562, yes
173,2.4985687732696533,0, no,-18.28255844116211, yes
174,2.0652761459350586,0, no,-17.87647819519043, yes
175,2.3382151126861572,0, no,-18.402042388916016, yes
176,3.782543659210205,0, no,-19.26970672607422, yes
177,1.7169935703277588,0, no,-18.316137313842773, yes
178,3.6976609230041504,0, no,-19.32852554321289, yes
179,2.7842676639556885,0, no,-18.175676345825195, yes
180,2.331071376800537,0, no,-18.184463500976562, yes
181,0.7492358088493347,0, no,-16.096668243408203, yes
182,2.5113885402679443,0, no,-18.654367446899414, yes
183,3.035034418106079,0, no,-17.302331924438477, yes
184,1.9879597425460815,0, no,-18.683935165405273, yes
185,3.4458694458007812,0, no,-17.44939422607422, yes
186,2.138179063796997,0, no,-17.50844955444336, yes
187,1.1099461317062378,0, no,-16.45200538635254, yes
188,2.008120059967041,0, no,-18.39200782775879, yes
189,3.094116687774658,0, no,-17.584280014038086, yes
190,1.6459718942642212,0, no,-16.6209716796875, yes
191,2.823418378829956,0, no,-18.546552658081055, yes
192,1.4085311889648438,0, no,-17.754304885864258, yes
193,0.122646264731884,1, yes,-15.353506088256836, yes
194,1.881508708000183,0, no,-17.262550354003906, yes
195,2.532731771469116,0, no,-18.81566047668457, yes
196,1.534010410308838,0, no,-17.980783462524414, yes
