index,loss,correct,predicted,total_logprob
0,1.3040518760681152,0, no,-2.693016290664673
1,0.29721441864967346,1, yes,-1.513419270515442
2,3.121246337890625,0, no,-0.7271249294281006
3,1.4337835311889648,0, no,-1.498086929321289
4,2.406097173690796,0, no,-2.190833330154419
5,4.201537609100342,0, no,-1.517183780670166
6,0.4477901756763458,1, yes,-3.305271863937378
7,0.22530880570411682,1, yes,-2.3199949264526367
8,1.2822439670562744,0, no,-4.439481735229492
9,0.1426042914390564,1, yes,-3.2225074768066406
10,0.3808095157146454,1, yes,-3.4226882457733154
11,4.6963419914245605,0, no,-2.2602553367614746
12,2.353053092956543,0, no,-2.624166488647461
13,3.153529167175293,0, no,-2.1550803184509277
14,2.3227715492248535,0, no,-2.219202995300293
15,4.25333833694458,0, no,-1.7426508665084839
16,0.8856818675994873,0, no,-1.5998716354370117
17,2.8855035305023193,0, no,-2.448076009750366
18,0.8523609638214111,0, no,-3.125577449798584
19,1.52340567111969,0, no,-2.0540390014648438
20,0.16889622807502747,1, yes,-2.352437734603882
21,4.336002349853516,0, no,-1.6634163856506348
22,4.755982875823975,0, no,-1.3313060998916626
23,4.065332889556885,0, no,-2.1959121227264404
24,0.3471289873123169,1, yes,-3.1928234100341797
25,3.169908046722412,0, no,-3.4893903732299805
26,1.3972485065460205,0, no,-1.7485647201538086
27,0.08358807861804962,1, yes,-3.2229483127593994
28,0.14243051409721375,1, yes,-1.7171761989593506
29,1.170358657836914,0, no,-2.314441204071045
30,3.3092076778411865,0, no,-2.464348077774048
31,2.7670934200286865,0, no,-1.8095974922180176
32,3.3493666648864746,0, no,-1.3617634773254395
33,1.0896949768066406,0, no,-2.6339120864868164
34,3.395362377166748,0, no,-1.647671103477478
35,3.215888738632202,0, no,-1.6166993379592896
36,2.4291019439697266,0, no,-2.2643356323242188
37,3.8874521255493164,0, no,-1.5483773946762085
38,4.531656265258789,0, no,-1.3153436183929443
39,1.9581202268600464,0, no,-2.961030960083008
40,3.934155225753784,0, no,-3.5177719593048096
41,4.638617515563965,0, no,-2.480262279510498
42,1.479784369468689,0, no,-1.2006553411483765
43,3.1716911792755127,0, no,-2.8166520595550537
44,4.3472161293029785,0, no,-2.454551935195923
