index,loss,correct,predicted,total_logprob
0,0.38837146759033203,1, yes,-1.9973773956298828
1,0.5219317674636841,1, yes,-1.9330109357833862
2,0.5182471871376038,1, yes,-1.8945488929748535
3,0.3083344101905823,1, yes,-2.204446792602539
4,0.3378985524177551,1, yes,-2.2549490928649902
5,0.2179836630821228,1, yes,-1.9237830638885498
6,0.35972335934638977,1, yes,-2.062704563140869
7,0.35192495584487915,1, yes,-2.4003021717071533
8,0.3298371136188507,1, yes,-2.4531397819519043
9,0.35981985926628113,1, yes,-2.51702880859375
10,0.5884965062141418,1, yes,-2.0284264087677
11,0.36045029759407043,1, yes,-2.164287805557251
12,0.37165385484695435,1, yes,-2.1414804458618164
13,0.4354133903980255,1, yes,-2.4651598930358887
14,0.3969390094280243,1, yes,-2.06321382522583
15,0.4008670747280121,1, yes,-1.9402414560317993
16,0.38401472568511963,1, yes,-2.3624820709228516
17,0.3802037835121155,1, yes,-2.7661755084991455
18,0.4250333309173584,1, yes,-2.2835676670074463
19,0.3445354700088501,1, yes,-2.120042324066162
20,0.3898142874240875,1, yes,-2.070255994796753
21,0.37869834899902344,1, yes,-2.355405330657959
22,0.4718327224254608,1, yes,-2.0746560096740723
23,0.45652374625205994,1, yes,-2.497830629348755
24,0.3732088804244995,1, yes,-2.3611550331115723
25,0.43689244985580444,1, yes,-2.0266635417938232
26,0.25831833481788635,1, yes,-1.9139822721481323
27,0.46910029649734497,1, yes,-2.9949092864990234
28,0.4343966245651245,1, yes,-2.548043727874756
29,0.41070467233657837,1, yes,-2.325416088104248
30,0.31737688183784485,1, yes,-2.0919189453125
31,0.34660544991493225,1, yes,-2.0749378204345703
32,0.30518773198127747,1, yes,-2.290731906890869
33,0.25895562767982483,1, yes,-2.043466091156006
34,0.2993089556694031,1, yes,-2.2170321941375732
35,0.2953284680843353,1, yes,-2.005740165710449
36,0.34960171580314636,1, yes,-2.3888823986053467
37,0.44623780250549316,1, yes,-1.8999223709106445
38,0.3374163508415222,1, yes,-2.4015209674835205
39,0.34164467453956604,1, yes,-1.7262781858444214
40,0.4123890697956085,1, yes,-2.515026330947876
41,0.5133197903633118,1, yes,-1.892221212387085
42,0.3070681691169739,1, yes,-2.6243717670440674
43,0.3265114724636078,1, yes,-2.367722749710083
44,0.352220356464386,1, yes,-2.393526792526245
45,0.44903334975242615,1, yes,-2.1605019569396973
46,0.19847716391086578,1, yes,-2.200465202331543
47,0.3933681547641754,1, yes,-2.227689027786255
48,0.5482024550437927,1, yes,-2.032095432281494
49,0.3435055613517761,1, yes,-2.478921413421631
50,0.7437393665313721,0, no,-2.4018466472625732
51,0.19445472955703735,1, yes,-2.4138741493225098
52,0.29147273302078247,1, yes,-2.3623037338256836
53,0.3653770983219147,1, yes,-2.3205976486206055
54,0.50716632604599,1, yes,-2.3561556339263916
55,0.2787909507751465,1, yes,-2.168816566467285
56,0.5691066980361938,1, yes,-2.113919258117676
57,0.38537293672561646,1, yes,-2.071580410003662
58,0.4482051134109497,1, yes,-1.8777283430099487
59,0.48059704899787903,1, yes,-2.1063530445098877
60,0.46546751260757446,1, yes,-1.9997811317443848
61,0.3398238718509674,1, yes,-2.2724609375
62,0.39785051345825195,1, yes,-2.4650661945343018
63,0.3966889977455139,1, yes,-1.9295589923858643
64,0.3218402862548828,1, yes,-2.076887845993042
65,0.405129998922348,1, yes,-2.319370746612549
66,0.3226565718650818,1, yes,-2.1700308322906494
67,0.3162262439727783,1, yes,-2.3913235664367676
68,0.29207608103752136,1, yes,-2.3934364318847656
69,0.3372940123081207,1, yes,-1.9581705331802368
70,0.45878294110298157,1, yes,-2.088106632232666
71,0.2028251439332962,1, yes,-2.1792049407958984
72,0.4063962697982788,1, yes,-2.022494316101074
73,0.2672439217567444,1, yes,-1.9482147693634033
74,0.3458891212940216,1, yes,-2.4049184322357178
75,0.48147615790367126,1, yes,-1.8563145399093628
76,0.33491984009742737,1, yes,-1.8999329805374146
77,0.6189088225364685,1, yes,-2.2062947750091553
